itemId	images	thumbnails_json	chosen_image	itemName
2	NULL	images/brands/other/protec-skate_helmet.png	images/brands/other/protec-skate_helmet.png	Pro-tec Classic Skate Helmet
4	NULL	images/brands/other/sting-armaplus-boxing_gloves-T3.png	images/brands/other/sting-armaplus-boxing_gloves-T3.png	String ArmaPlus Boxing Gloves
5	NULL	images/brands/asics/unisex/soccer_boots/gel_lethal_tigreor_8_IT.png	images/brands/asics/unisex/soccer_boots/gel_lethal_tigreor_8_IT.png	Asics Gel Lethal Tigreor 8 IT Men's
6	NULL	images/brands/asics/unisex/running_shoes/kayano_26.png	images/brands/asics/unisex/running_shoes/kayano_26.png	Asics GEL Kayano 27 Kids Running Shoes
8	NULL	images/brands/nike/kids/girls/futura/air/pink_and_white/01.png	images/brands/nike/kids/girls/futura/air/pink_and_white/01.png	Nike girls Futura Air tee
11	NULL	images/stax/banners/women/08-nandex-longsleeve.png	images/brands/stax/banners/women/08-nandex-longsleeve.png	NANDEX Long Sleeve Crop
12	NULL	images/stax/banners/women/second-left/01-mini-biker-shorts.png	images/brands/stax/banners/women/second-left/01-mini-biker-shorts.png	Mini Biker Shorts
13	NULL	images/stax/banners/women/second-left/02-bralette.png	images/brands/stax/banners/women/second-left/02-bralette.png	Second Left Seamless Bralette
14	NULL	images/stax/banners/women/second-left/03-longsleeve-crop.png	images/brands/stax/banners/women/second-left/03-longsleeve-crop.png	Second Left Seamless Long Sleeve Crop-Top
15		images/brands/asics/unisex/soccer_boots/gel_lethal_tigreor_8_IT.png	images/brands/asics/unisex/soccer_boots/gel_lethal_tigreor_8_IT.png	Gel Lethal Tigreor 8 IT
16		images/brands/asics/unisex/running_shoes/kayano_26.png	images/brands/asics/unisex/running_shoes/kayano_26.png	Gel Kayano 26
