batch_id,itemId,external_item_id,model_id,db_itemId,brand,itemName,categoryName,subCategory,gender,size_type,is_active,featured,identity_status,identity_notes
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,92,Ryderwear,NKD Scrunch V High-Waisted Leggings,,Leggings,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_leggings_v_full_length_scrunch,ryderwear_female_nkd_leggings_v_full_length_scrunch,93,Ryderwear,NKD Scrunch V Leggings,,Leggings,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,94,Ryderwear,NKD Scrunch V Pocket Leggings,,Leggings,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_shorts_v_pocket_scrunch,ryderwear_female_nkd_shorts_v_pocket_scrunch,95,Ryderwear,NKD Scrunch V Pocket Shorts,,Shorts,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_shorts_v_scrunch,ryderwear_female_nkd_shorts_v_scrunch,96,Ryderwear,NKD Scrunch V Shorts,,Shorts,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_tank_top_scrunch,ryderwear_female_nkd_tank_top_scrunch,90,Ryderwear,NKD Scrunch Halter Tank Top,,Tank_Top,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_bodysuit_v_scrunch,ryderwear_female_nkd_bodysuit_v_scrunch,89,Ryderwear,NKD Scrunch Bodysuit,,Bodysuit,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_leggings_flared_cross_over,ryderwear_female_nkd_leggings_flared_cross_over,84,Ryderwear,NKD Cross Waist Flared Leggings,,Leggings,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_long_sleeve_half_zip,ryderwear_female_nkd_long_sleeve_half_zip,86,Ryderwear,NKD Half Zip Long Sleeve Top,,Long_Sleeve,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_tank_top_square_neck,ryderwear_female_nkd_tank_top_square_neck,97,Ryderwear,NKD Square Neck Top,,Tank_Top,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_t_shirt,ryderwear_female_nkd_t_shirt,98,Ryderwear,NKD Tee,,T_Shirt,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_nkd_bodysuit_underwire_keyhole_cross_over_back_scrunch,ryderwear_female_nkd_bodysuit_underwire_keyhole_cross_over_back_scrunch,100,Ryderwear,NKD Underwire Keyhole Bodysuit,,Bodysuit,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_lift_2_0_leggings_foldover_ribbed_high_waisted,ryderwear_female_lift_2_0_leggings_foldover_ribbed_high_waisted,76,Ryderwear,Lift 2.0 BBL Seamless High-Waisted Leggings,,Leggings,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_lift_2_0_shorts_foldover_ribbed_high_waisted,ryderwear_female_lift_2_0_shorts_foldover_ribbed_high_waisted,77,Ryderwear,Lift 2.0 BBL Seamless High-Waisted Shorts,,Shorts,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_contour_sports_bra_rib_waistband_light_support,ryderwear_female_contour_sports_bra_rib_waistband_light_support,55,Ryderwear,Contour Halter Sports Bra,,Sports_Bra,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_contour_shorts_foldover_ribbed_high_waisted,ryderwear_female_contour_shorts_foldover_ribbed_high_waisted,57,Ryderwear,Contour Seamless High-Waisted Shorts,,Shorts,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_contour_leggings_foldover_ribbed_high_waisted,ryderwear_female_contour_leggings_foldover_ribbed_high_waisted,56,Ryderwear,Contour Seamless High-Waisted Leggings,,Leggings,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_contour_track_pants_brushed_fleece_elastic_waistband_ankle_cuff,ryderwear_female_contour_track_pants_brushed_fleece_elastic_waistband_ankle_cuff,58,Ryderwear,Contour Track Pants,,Track_Pants,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_sculpt_shorts_foldover_ribbed_high_waisted_scrunch,ryderwear_female_sculpt_shorts_foldover_ribbed_high_waisted_scrunch,111,Ryderwear,Sculpt Seamless High-Waisted Shorts,,Shorts,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_sculpt_leggings_foldover_ribbed_high_waisted_scrunch,ryderwear_female_sculpt_leggings_foldover_ribbed_high_waisted_scrunch,110,Ryderwear,Sculpt Seamless High-Waisted Leggings,,Leggings,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_ultra_tank_top_mesh,ryderwear_female_ultra_tank_top_mesh,118,Ryderwear,Ultra Mesh Tank,,Tank_Top,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_ultra_tank_top_scoop,ryderwear_female_ultra_tank_top_scoop,120,Ryderwear,Ultra Scoop Tank,,Tank_Top,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_ultra_t_shirt_scoop,ryderwear_female_ultra_t_shirt_scoop,119,Ryderwear,Ultra Scoop T-Shirt,,T_Shirt,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_female_slouchy_off_shoulder_top,ryderwear_female_slouchy_off_shoulder_top,112,Ryderwear,Slouchy Off Shoulder Top,,Slouchy_Off_Shoulder_Top,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
ryderwear-batch2-2026-05-27-01,,ryderwear_unisex_gym_bag_accessories,ryderwear_unisex_gym_bag_accessories,68,Ryderwear,Gym Bag,,Gym_Bag,,,,,captured_from_batch2_plan,row sourced from ryderwear-batch-2-productdb-image-update-plan.csv
