row_number,db_itemId,model_id,itemName,row_group,field,finding_category,readiness_category,issue_type,blank_or_issue_count,remediation_owner,remediation_pathway,suggested_action,governance_note,frontend_ready,import_ready,admin_visible_ok
8,,"adidas_male_hoodie_poly linear","Poly Linear Full-Zip Hoodie",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
8,,"adidas_male_hoodie_poly linear","Poly Linear Full-Zip Hoodie",likely_new,price,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
8,,"adidas_male_hoodie_poly linear","Poly Linear Full-Zip Hoodie",likely_new,images,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
8,,"adidas_male_hoodie_poly linear","Poly Linear Full-Zip Hoodie",likely_new,external_item_id,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,no,yes
8,,"adidas_male_hoodie_poly linear","Poly Linear Full-Zip Hoodie",likely_new,description,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
8,,"adidas_male_hoodie_poly linear","Poly Linear Full-Zip Hoodie",likely_new,altText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
8,,"adidas_male_hoodie_poly linear","Poly Linear Full-Zip Hoodie",likely_new,ariaText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
9,,"adidas_male_track_pants_poly linear","Poly Linear Track Pants",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
9,,"adidas_male_track_pants_poly linear","Poly Linear Track Pants",likely_new,price,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
9,,"adidas_male_track_pants_poly linear","Poly Linear Track Pants",likely_new,images,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
9,,"adidas_male_track_pants_poly linear","Poly Linear Track Pants",likely_new,external_item_id,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,no,yes
9,,"adidas_male_track_pants_poly linear","Poly Linear Track Pants",likely_new,description,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
9,,"adidas_male_track_pants_poly linear","Poly Linear Track Pants",likely_new,altText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
9,,"adidas_male_track_pants_poly linear","Poly Linear Track Pants",likely_new,ariaText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
15,,adidas_female_hyperglam_crop_top_3-stripes,"Hyperglam Long Sleeve Crop Top",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
15,,adidas_female_hyperglam_crop_top_3-stripes,"Hyperglam Long Sleeve Crop Top",likely_new,price,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
15,,adidas_female_hyperglam_crop_top_3-stripes,"Hyperglam Long Sleeve Crop Top",likely_new,images,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
15,,adidas_female_hyperglam_crop_top_3-stripes,"Hyperglam Long Sleeve Crop Top",likely_new,external_item_id,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,no,yes
15,,adidas_female_hyperglam_crop_top_3-stripes,"Hyperglam Long Sleeve Crop Top",likely_new,description,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
15,,adidas_female_hyperglam_crop_top_3-stripes,"Hyperglam Long Sleeve Crop Top",likely_new,altText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
15,,adidas_female_hyperglam_crop_top_3-stripes,"Hyperglam Long Sleeve Crop Top",likely_new,ariaText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
16,,adidas_female_hyperglam_leggings_3-stripes,"Hyperglam Leggings",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
16,,adidas_female_hyperglam_leggings_3-stripes,"Hyperglam Leggings",likely_new,price,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
16,,adidas_female_hyperglam_leggings_3-stripes,"Hyperglam Leggings",likely_new,images,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
