model_id,itemName,update_plan_status,productdb_row_found,images_before,images_after,primary_before,primary_after,secondary_before,secondary_after,application_status,notes
ryderwear_female_nkd_leggings_v_high_waisted_scrunch,NKD Scrunch V High-Waisted Leggings,ready_for_productdb_image_update,yes,,images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/01.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/02.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/03.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/04.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/05.webp,,,,,updated_images,Updated ProductDB images from plan proposed_images_value.
ryderwear_female_nkd_leggings_v_full_length_scrunch,NKD Scrunch V Leggings,ready_for_productdb_image_update,yes,,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/v/scrunch/banner/stonewash/01-2023_Collection-Page_Banner-Desktop_2680x.webp,,,,,updated_images,Updated ProductDB images from plan proposed_images_value.
ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,NKD Scrunch V Pocket Leggings,ready_for_productdb_image_update,yes,,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/01.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/02.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/03.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/04.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/05.webp,,,,,updated_images,Updated ProductDB images from plan proposed_images_value.
ryderwear_female_nkd_shorts_v_pocket_scrunch,NKD Scrunch V Pocket Shorts,ready_for_productdb_image_update,yes,,images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/01.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/02.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/03.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/04.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/05.webp,,,,,updated_images,Updated ProductDB images from plan proposed_images_value.
ryderwear_female_nkd_shorts_v_scrunch,NKD Scrunch V Shorts,ready_for_productdb_image_update,yes,,images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/01.webp;images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/02.webp;images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/03.webp;images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/04.webp;images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/05.webp;images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/06.webp,,,,,updated_images,Updated ProductDB images from plan proposed_images_value.
ryderwear_female_nkd_tank_top_scrunch,NKD Scrunch Halter Tank Top,ready_for_productdb_image_update,yes,,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/01.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/02.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/03.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/04.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/05.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/06.webp,,,,,updated_images,Updated ProductDB images from plan proposed_images_value.
ryderwear_female_nkd_bodysuit_v_scrunch,NKD Scrunch Bodysuit,ready_for_productdb_image_update,yes,,images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/01.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/02.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/03.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/04.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/05.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/06.webp,,,,,updated_images,Updated ProductDB images from plan proposed_images_value.
ryderwear_female_nkd_leggings_flared_cross_over,NKD Cross Waist Flared Leggings,ready_for_productdb_image_update,yes,,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/01.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/02.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/03.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/04.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/05.png,,,,,updated_images,Updated ProductDB images from plan proposed_images_value.
ryderwear_female_nkd_long_sleeve_half_zip,NKD Half Zip Long Sleeve Top,ready_for_productdb_image_update,yes,,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/01.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/02.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/03.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/04.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/05.webp,,,,,updated_images,Updated ProductDB images from plan proposed_images_value.
ryderwear_female_nkd_tank_top_square_neck,NKD Square Neck Top,ready_for_productdb_image_update,yes,,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/01.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/02.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/03.jpg;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/04.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/05.webp,,,,,updated_images,Updated ProductDB images from plan proposed_images_value.
