model_id,itemName,collection,subCategory,current_db_itemId,current_images,copied_project_image_folder,copied_image_files,proposed_images_value,proposed_primary_image,proposed_secondary_image,update_plan_status,update_notes
ryderwear_female_nkd_leggings_v_high_waisted_scrunch,NKD Scrunch V High-Waisted Leggings,NKD,Leggings,92,,images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black,images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/01.webp | images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/02.webp | images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/03.webp | images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/04.webp | images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/05.webp,images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/01.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/02.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/03.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/04.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/05.webp,images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/01.webp,images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/02.webp,ready_for_productdb_image_update,
ryderwear_female_nkd_leggings_v_full_length_scrunch,NKD Scrunch V Leggings,NKD,Leggings,93,,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/v/scrunch/banner/stonewash,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/v/scrunch/banner/stonewash/01-2023_Collection-Page_Banner-Desktop_2680x.webp,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/v/scrunch/banner/stonewash/01-2023_Collection-Page_Banner-Desktop_2680x.webp,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/v/scrunch/banner/stonewash/01-2023_Collection-Page_Banner-Desktop_2680x.webp,,ready_for_productdb_image_update,
ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,NKD Scrunch V Pocket Leggings,NKD,Leggings,94,,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/01.webp | images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/02.webp | images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/03.webp | images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/04.webp | images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/05.webp,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/01.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/02.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/03.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/04.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/05.webp,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/01.webp,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/02.webp,ready_for_productdb_image_update,
ryderwear_female_nkd_shorts_v_pocket_scrunch,NKD Scrunch V Pocket Shorts,NKD,Shorts,95,,images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black,images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/01.webp | images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/02.webp | images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/03.webp | images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/04.webp | images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/05.webp,images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/01.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/02.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/03.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/04.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/05.webp,images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/01.webp,images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/02.webp,ready_for_productdb_image_update,
ryderwear_female_nkd_shorts_v_scrunch,NKD Scrunch V Shorts,NKD,Shorts,96,,images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha,images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/01.webp | images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/02.webp | images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/03.webp | images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/04.webp | images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/05.webp | images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/06.webp,images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/01.webp;images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/02.webp;images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/03.webp;images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/04.webp;images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/05.webp;images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/06.webp,images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/01.webp,images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha/02.webp,ready_for_productdb_image_update,
ryderwear_female_nkd_tank_top_scrunch,NKD Scrunch Halter Tank Top,NKD,Tank_Top,90,,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/01.webp | images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/02.webp | images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/03.webp | images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/04.webp | images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/05.webp | images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/06.webp,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/01.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/02.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/03.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/04.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/05.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/06.webp,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/01.webp,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/02.webp,ready_for_productdb_image_update,
ryderwear_female_nkd_bodysuit_v_scrunch,NKD Scrunch Bodysuit,NKD,Bodysuit,89,,images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black,images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/01.webp | images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/02.webp | images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/03.webp | images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/04.webp | images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/05.webp | images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/06.webp,images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/01.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/02.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/03.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/04.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/05.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/06.webp,images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/01.webp,images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/02.webp,ready_for_productdb_image_update,
ryderwear_female_nkd_leggings_flared_cross_over,NKD Cross Waist Flared Leggings,NKD,Leggings,84,,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/01.png | images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/02.png | images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/03.png | images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/04.png | images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/05.png,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/01.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/02.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/03.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/04.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/05.png,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/01.png,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/02.png,ready_for_productdb_image_update,
ryderwear_female_nkd_long_sleeve_half_zip,NKD Half Zip Long Sleeve Top,NKD,Long_Sleeve,86,,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/01.webp | images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/02.webp | images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/03.webp | images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/04.webp | images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/05.webp,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/01.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/02.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/03.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/04.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/05.webp,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/01.webp,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/02.webp,ready_for_productdb_image_update,
ryderwear_female_nkd_tank_top_square_neck,NKD Square Neck Top,NKD,Tank_Top,97,,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/01.webp | images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/02.webp | images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/03.jpg | images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/04.webp | images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/05.webp,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/01.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/02.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/03.jpg;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/04.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/05.webp,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/01.webp,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white/02.webp,ready_for_productdb_image_update,
