"relative_folder","semantic_display_path","semantic_axis_values","product_signal_terms","likely_colour_folder","parent_folder","top_namespace","second_namespace","third_namespace","folder_depth","direct_image_count","image_files","full_folder_path"
"Men/T-Back/Arnie/Coral","Men | T-Back | Arnie | Coral","","Men | T-Back | Arnie | Coral","Coral","Arnie","Men","T-Back","Arnie","4","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Men\T-Back\Arnie\Coral"
"Men/T-Back/Energy_Mesh/Black","Men | T-Back | Energy_Mesh | Black","","Men | T-Back | Energy_Mesh | Black","Black","Energy_Mesh","Men","T-Back","Energy_Mesh","4","5","01.png | 02.png | 03.png | 04.png | 05.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Men\T-Back\Energy_Mesh\Black"
"Plus-Size/Women/Lounge_Jersey_Flare_Pants/Black","Plus-Size | Women | Lounge_Jersey_Flare_Pants | Black","","Plus-Size | Women | Lounge_Jersey_Flare_Pants | Black","Black","Lounge_Jersey_Flare_Pants","Plus-Size","Women","Lounge_Jersey_Flare_Pants","4","3","01.webp | 02.webp | 03.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Plus-Size\Women\Lounge_Jersey_Flare_Pants\Black"
"Plus-Size/Women/Lounge_Jersey_Flare_Pants/Grey_Marl","Plus-Size | Women | Lounge_Jersey_Flare_Pants | Grey_Marl","","Plus-Size | Women | Lounge_Jersey_Flare_Pants | Grey_Marl","Grey_Marl","Lounge_Jersey_Flare_Pants","Plus-Size","Women","Lounge_Jersey_Flare_Pants","4","3","01.webp | 02.webp | 03.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Plus-Size\Women\Lounge_Jersey_Flare_Pants\Grey_Marl"
"Plus-Size/Women/NKD/High-Waisted_Scrunch_Shorts/Mocha","Plus-Size | Women | NKD | High-Waisted_Scrunch_Shorts | Mocha","","Plus-Size | Women | NKD | High-Waisted_Scrunch_Shorts | Mocha","Mocha","High-Waisted_Scrunch_Shorts","Plus-Size","Women","NKD","5","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Plus-Size\Women\NKD\High-Waisted_Scrunch_Shorts\Mocha"
"Plus-Size/Women/NKD/High-Waisted_Scrunch_Shorts/Neon_Salmon","Plus-Size | Women | NKD | High-Waisted_Scrunch_Shorts | Neon_Salmon","","Plus-Size | Women | NKD | High-Waisted_Scrunch_Shorts | Neon_Salmon","Neon_Salmon","High-Waisted_Scrunch_Shorts","Plus-Size","Women","NKD","5","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Plus-Size\Women\NKD\High-Waisted_Scrunch_Shorts\Neon_Salmon"
"Unisex/Accessories/Baseball_Cap/Almond","Unisex | Accessories | Baseball_Cap | Almond","","Unisex | Accessories | Baseball_Cap | Almond","Almond","Baseball_Cap","Unisex","Accessories","Baseball_Cap","4","2","01.webp | 03.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Unisex\Accessories\Baseball_Cap\Almond"
"Unisex/Accessories/Stonewash_Cap/Charcoal","Unisex | Accessories | Stonewash_Cap | Charcoal","","Unisex | Accessories | Stonewash_Cap | Charcoal","Charcoal","Stonewash_Cap","Unisex","Accessories","Stonewash_Cap","4","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Unisex\Accessories\Stonewash_Cap\Charcoal"
"Unisex/Track_Pants","Unisex | Track_Pants","","Unisex | Track_Pants","Track_Pants","Unisex","Unisex","Track_Pants","","2","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Unisex\Track_Pants"
"Women/Accessories/Pilates_Gym_Bag/Vanilla","Women | Accessories | Pilates_Gym_Bag | Vanilla","","Women | Accessories | Pilates_Gym_Bag | Vanilla","Vanilla","Pilates_Gym_Bag","Women","Accessories","Pilates_Gym_Bag","4","8","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp | 07.webp | 08.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Accessories\Pilates_Gym_Bag\Vanilla"
