image_path,image_basename,width,height,ratio,face_count,face_top_pct,headroom_pct,focus_y_pct,crop_safe
C:\laragon\www\sports-warehouse-home-page\images\adobestock_414079274-soccer_ball_and_field.jpeg,adobestock_414079274-soccer_ball_and_field.jpeg,5000,2750,1.8182,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\adobestock_536942588-ellipse.png,adobestock_536942588-ellipse.png,307,400,0.7675,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\banners\01-urban.png,01-urban.png,2000,667,2.9985,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\banners\kids\01.png,01.png,1920,860,2.2326,2,6.82,6.82,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\banners\men\urban\01.png,01.png,2000,667,2.9985,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\banners\men\urban\02.png,02.png,1464,600,2.44,1,13.22,13.22,14.8,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\banners\men\urban\03.png,03.png,1464,600,2.44,2,20.61,20.61,24.3,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\banners\women\streetwear.png,streetwear.png,1920,800,2.4,1,17.54,17.54,24.9,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\banners\women\blackpink\jennie\superstar-the_original\01.png,01.png,1365,2048,0.6665,1,34.79,34.79,35.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\banners\women\blackpink\jennie\superstar-the_original\02.png,02.png,1365,2048,0.6665,1,19.53,19.53,35.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\banners\women\blackpink\jennie\superstar-the_original\03.png,03.png,1808,1166,1.5506,1,12.62,12.62,16.8,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\banners\women\blackpink\jennie\superstar-the_original\04.png,04.png,1628,1700,0.9576,1,25.38,25.38,35.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\banners\women\blackpink\jennie\superstar-the_original\05.png,05.png,576,732,0.7869,1,5.78,5.78,12.3,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\banners\women\blackpink\jennie\superstar-the_original\06.png,06.png,1536,1024,1.5,1,13.59,13.59,18.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\backpack\01.png,01.png,372,545,0.6826,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\backpack\02.png,02.png,352,552,0.6377,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\backpack\03.png,03.png,351,557,0.6302,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\backpack\04.png,04.png,367,543,0.6759,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\backpack\05.png,05.png,642,862,0.7448,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\banner\global_disney_marvel_superheroes-launch\01.png,01.png,1920,810,2.3704,1,16.04,16.04,22.3,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\banner\global_disney_marvel_superheroes-launch\02.png,02.png,3072,2304,1.3333,1,14.13,14.13,14.4,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\t-shirt\01.png,01.png,646,937,0.6894,2,6.26,6.26,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\t-shirt\02.png,02.png,1794,1758,1.0205,1,46.82,46.82,35.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\tracksuit\01.png,01.png,1256,1766,0.7112,2,6.5,6.5,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\tracksuit\02.png,02.png,1148,1754,0.6545,1,7.11,7.11,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\tracksuit\03.png,03.png,776,1754,0.4424,1,6.32,6.32,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\tracksuit\04.png,04.png,656,1742,0.3766,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\kids\marvel-spider_man\trainers-light_up\01.png,01.png,1564,984,1.5894,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\3-stripes\running_tee\01.png,01.png,679,1156,0.5874,1,6.34,6.34,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\campus_sneakers\01.png,01.png,864,393,2.1985,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\campus_sneakers\02.png,02.png,645,486,1.3272,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\campus_sneakers\03.png,03.png,618,423,1.461,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\campus_sneakers\04.png,04.png,657,531,1.2373,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\campus_sneakers\05.png,05.png,348,474,0.7342,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\campus_sneakers\06.png,06.png,666,258,2.5814,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\01.png,01.png,956,919,1.0403,1,8.32,8.32,10.1,1.0
