image_path,image_basename,width,height,ratio,face_count,face_top_pct,headroom_pct,focus_y_pct,alpha_top_pct,final_crop_safe,decision_reason
images\adobestock_414079274-soccer_ball_and_field.jpeg,adobestock_414079274-soccer_ball_and_field.jpeg,5000,2750,1.8182,0,,,,,1,none
images\adobestock_536942588-ellipse.png,adobestock_536942588-ellipse.png,307,400,0.7675,0,,0.0,,0.0,0,alpha
images\brands\adidas\banners\01-urban.png,01-urban.png,2000,667,2.9985,0,,0.0,,0.0,0,alpha
images\brands\adidas\banners\kids\01.png,01.png,1920,860,2.2326,0,,0.0,,0.0,0,alpha
images\brands\adidas\banners\men\urban\01.png,01.png,2000,667,2.9985,0,,0.0,,0.0,0,alpha
images\brands\adidas\banners\men\urban\02.png,02.png,1464,600,2.44,1,12.11,12.11,14.0,0.0,1,face
images\brands\adidas\banners\men\urban\03.png,03.png,1464,600,2.44,1,28.83,28.83,35.0,0.0,1,face
images\brands\adidas\banners\women\streetwear.png,streetwear.png,1920,800,2.4,1,14.53,14.53,28.9,0.0,1,face
images\brands\adidas\banners\women\blackpink\jennie\superstar-the_original\01.png,01.png,1365,2048,0.6665,1,37.54,37.54,35.0,4.49,1,face
images\brands\adidas\banners\women\blackpink\jennie\superstar-the_original\02.png,02.png,1365,2048,0.6665,1,23.21,23.21,35.0,0.0,1,face
images\brands\adidas\banners\women\blackpink\jennie\superstar-the_original\03.png,03.png,1808,1166,1.5506,1,16.0,16.0,22.1,1.37,1,face
images\brands\adidas\banners\women\blackpink\jennie\superstar-the_original\04.png,04.png,1628,1700,0.9576,1,29.43,29.43,35.0,1.24,1,face
images\brands\adidas\banners\women\blackpink\jennie\superstar-the_original\05.png,05.png,576,732,0.7869,1,7.8,7.8,13.1,0.0,1,face
images\brands\adidas\banners\women\blackpink\jennie\superstar-the_original\06.png,06.png,1536,1024,1.5,1,13.38,13.38,19.2,,1,face
images\brands\adidas\kids\marvel-spider_man\backpack\01.png,01.png,372,545,0.6826,0,,0.0,,0.0,0,alpha
images\brands\adidas\kids\marvel-spider_man\backpack\02.png,02.png,352,552,0.6377,0,,0.18,,0.18,0,alpha
images\brands\adidas\kids\marvel-spider_man\backpack\03.png,03.png,351,557,0.6302,0,,1.08,,1.08,0,alpha
images\brands\adidas\kids\marvel-spider_man\backpack\04.png,04.png,367,543,0.6759,0,,1.29,,1.29,0,alpha
images\brands\adidas\kids\marvel-spider_man\backpack\05.png,05.png,642,862,0.7448,0,,0.0,,0.0,0,alpha
images\brands\adidas\kids\marvel-spider_man\banner\global_disney_marvel_superheroes-launch\01.png,01.png,1920,810,2.3704,1,15.51,15.51,26.0,0.0,1,face
images\brands\adidas\kids\marvel-spider_man\banner\global_disney_marvel_superheroes-launch\02.png,02.png,3072,2304,1.3333,1,10.34,10.34,14.9,0.0,1,face
images\brands\adidas\kids\marvel-spider_man\t-shirt\01.png,01.png,646,937,0.6894,1,8.67,8.67,9.0,0.53,1,face
images\brands\adidas\kids\marvel-spider_man\t-shirt\02.png,02.png,1794,1758,1.0205,0,,0.97,,0.97,0,alpha
images\brands\adidas\kids\marvel-spider_man\tracksuit\01.png,01.png,1256,1766,0.7112,1,5.78,5.78,8.0,0.79,0,face
images\brands\adidas\kids\marvel-spider_man\tracksuit\02.png,02.png,1148,1754,0.6545,1,5.7,5.7,8.0,0.51,0,face
images\brands\adidas\kids\marvel-spider_man\tracksuit\03.png,03.png,776,1754,0.4424,1,3.03,3.03,8.0,0.97,0,face
images\brands\adidas\kids\marvel-spider_man\tracksuit\04.png,04.png,656,1742,0.3766,0,,0.4,,0.4,0,alpha
images\brands\adidas\kids\marvel-spider_man\trainers-light_up\01.png,01.png,1564,984,1.5894,0,,3.05,,3.05,1,alpha
images\brands\adidas\men\3-stripes\running_tee\01.png,01.png,679,1156,0.5874,1,5.86,5.86,8.0,0.09,0,face
images\brands\adidas\men\campus_sneakers\01.png,01.png,864,393,2.1985,0,,1.53,,1.53,1,alpha
images\brands\adidas\men\campus_sneakers\02.png,02.png,645,486,1.3272,0,,2.47,,2.47,1,alpha
images\brands\adidas\men\campus_sneakers\03.png,03.png,618,423,1.461,2,13.81,13.81,23.5,1.18,1,face
images\brands\adidas\men\campus_sneakers\04.png,04.png,657,531,1.2373,0,,0.0,,0.0,0,alpha
images\brands\adidas\men\campus_sneakers\05.png,05.png,348,474,0.7342,2,12.33,12.33,16.6,1.27,1,face
images\brands\adidas\men\campus_sneakers\06.png,06.png,666,258,2.5814,0,,3.49,,3.49,1,alpha
images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\01.png,01.png,956,919,1.0403,2,9.63,9.63,10.9,1.41,1,face
images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\02.png,02.png,447,945,0.473,1,8.21,8.21,9.7,0.63,1,face
images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\03.png,03.png,525,939,0.5591,1,8.83,8.83,10.6,0.32,1,face
images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\04.png,04.png,339,927,0.3657,1,4.68,4.68,8.0,0.43,0,face
images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\05.png,05.png,750,945,0.7937,1,15.65,15.65,20.7,0.63,1,face
images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\06.png,06.png,591,957,0.6176,0,,0.0,,0.0,0,alpha
images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\07.png,07.png,714,957,0.7461,0,,0.0,,0.0,0,alpha
images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\08.png,08.png,537,897,0.5987,0,,0.0,,0.0,0,alpha
images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\09.png,09.png,342,903,0.3787,1,4.91,4.91,8.0,0.66,0,face
images\brands\adidas\other\UEFA_Euro16-Top_Glider_Ball.png,UEFA_Euro16-Top_Glider_Ball.png,500,500,1.0,0,,5.8,,5.8,1,alpha
images\brands\adidas\women\3-stripes\booty_shorts\01.png,01.png,558,942,0.5924,1,6.39,6.39,8.9,0.96,1,face
images\brands\adidas\women\3-stripes\booty_shorts\02.png,02.png,750,957,0.7837,0,,0.0,,0.0,0,alpha
images\brands\adidas\women\3-stripes\booty_shorts\03.png,03.png,750,957,0.7837,0,,0.0,,0.0,0,alpha
images\brands\adidas\women\3-stripes\booty_shorts\04.png,04.png,456,942,0.4841,1,0.62,0.62,8.0,0.0,0,face
images\brands\adidas\women\3-stripes\booty_shorts\05.png,05.png,372,927,0.4013,1,3.93,3.93,8.0,0.65,0,face
images\brands\adidas\women\3-stripes\flared_leggings\01.png,01.png,265,607,0.4366,1,5.69,5.69,8.0,1.32,0,face
images\brands\adidas\women\3-stripes\flared_leggings\02.png,02.png,269,611,0.4403,1,5.57,5.57,8.0,0.49,0,face
